"Station Name","MCTAVISH"
"Province","QUEBEC"
"Latitude","45.50"
"Longitude","-73.58"
"Elevation","72.80"
"Climate Identifier","7024745"
"WMO Identifier","71612"
"TC Identifier","WTA"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2015-01-01","2015","01","01","†","-3.1","","-7.6","","-5.4","","23.4","","0.0","","","M","","M","","M","","","22","","41",""
"2015-01-02","2015","01","02","†","-3.4","","-13.1","","-8.3","","26.3","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-03","2015","01","03","†","-8.0","","-15.0","","-11.5","","29.5","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-04","2015","01","04","†","3.3","","-8.1","","-2.4","","20.4","","0.0","","","M","","M","","M","","","19","","37",""
"2015-01-05","2015","01","05","†","-4.8","","-17.5","","-11.2","","29.2","","0.0","","","M","","M","","M","","","18","","44",""
"2015-01-06","2015","01","06","†","","M","-18.0","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"2015-01-07","2015","01","07","†","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2015-01-08","2015","01","08","†","-7.9","","-26.7","","-17.3","","35.3","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-09","2015","01","09","†","-6.0","","-13.0","","-9.5","","27.5","","0.0","","","M","","M","","M","","","21","","32",""
"2015-01-10","2015","01","10","†","-8.5","","-13.1","","-10.8","","28.8","","0.0","","","M","","M","","M","","","18","","35",""
"2015-01-11","2015","01","11","†","-3.9","","-10.4","","-7.2","","25.2","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-12","2015","01","12","†","-1.3","","-16.9","","-9.1","","27.1","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-13","2015","01","13","†","-15.2","","-20.6","","-17.9","","35.9","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-14","2015","01","14","†","-12.5","","-20.0","","-16.3","","34.3","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-15","2015","01","15","†","-5.0","","-17.5","","-11.3","","29.3","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-16","2015","01","16","†","-2.3","","-19.8","","-11.1","","29.1","","0.0","","","M","","M","","M","","","26","","32",""
"2015-01-17","2015","01","17","†","-12.3","","-23.8","","-18.1","","36.1","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-18","2015","01","18","†","3.2","","-12.9","","-4.9","","22.9","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-19","2015","01","19","†","2.0","","-13.1","","-5.6","","23.6","","0.0","","","M","","M","","M","","","21","","33",""
"2015-01-20","2015","01","20","†","-13.1","","-17.8","","-15.5","","33.5","","0.0","","","M","","M","","M","","","19","","35",""
"2015-01-21","2015","01","21","†","-9.0","","-17.4","","-13.2","","31.2","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-22","2015","01","22","†","-7.4","","-15.2","","-11.3","","29.3","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-23","2015","01","23","†","-0.1","","-9.8","","-5.0","","23.0","","0.0","","","M","","M","","M","","","21","","41",""
"2015-01-24","2015","01","24","†","-0.4","","-3.0","","-1.7","","19.7","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-25","2015","01","25","†","-1.5","","-16.5","","-9.0","","27.0","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-26","2015","01","26","†","-14.2","","-19.6","","-16.9","","34.9","","0.0","","","M","","M","","M","","","4","","32",""
"2015-01-27","2015","01","27","†","-9.4","","-15.2","","-12.3","","30.3","","0.0","","","M","","M","","M","","","5","","37",""
"2015-01-28","2015","01","28","†","-8.0","","-13.4","","-10.7","","28.7","","0.0","","","M","","M","","M","","","24","","41",""
"2015-01-29","2015","01","29","†","-0.8","","-13.7","","-7.3","","25.3","","0.0","","","M","","M","","M","","","24","","35",""
"2015-01-30","2015","01","30","†","-2.1","","-17.2","","-9.7","","27.7","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-31","2015","01","31","†","-14.0","","-22.3","","-18.2","","36.2","","0.0","","","M","","M","","M","","","22","","35",""
"2015-02-01","2015","02","01","†","-12.9","","-20.1","","-16.5","","34.5","","0.0","","","M","","M","","M","","","","","<31",""
"2015-02-02","2015","02","02","†","-16.7","","-22.7","","-19.7","","37.7","","0.0","","","M","","M","","M","","","5","","32",""
"2015-02-03","2015","02","03","†","-7.1","","-21.7","","-14.4","","32.4","","0.0","","","M","","M","","M","","","","","<31",""
"2015-02-04","2015","02","04","†","-3.6","","-7.9","","-5.8","","23.8","","0.0","","","M","","M","","M","","","","","<31",""
"2015-02-05","2015","02","05","†","-6.7","","-19.8","","-13.3","","31.3","","0.0","","","M","","M","","M","","","","","<31",""
"2015-02-06","2015","02","06","†","-9.4","","-23.9","","-16.7","","34.7","","0.0","","","M","","M","","M","","","","","<31",""
"2015-02-07","2015","02","07","†","-11.7","","-15.5","","-13.6","","31.6","","0.0","","","M","","M","","M","","","","","<31",""
"2015-02-08","2015","02","08","†","-13.9","","-18.4","","-16.2","","34.2","","0.0","","","M","","M","","M","","","2","","35",""
